TIME	IP	REQUEST	SOURCE
2015-02-27 15:59:27	218.4.146.7	/aboutDirect/cooperation.html	www.sinbad.com.cn/ideaDirect/brand.html
2015-02-27 15:59:31	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 15:59:32	183.47.228.117	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 15:59:35	183.47.228.117	/admin/remind/newOrderRemind	sinbad.com.cn/login
2015-02-27 15:59:35	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 15:59:37	119.97.225.27	/hotelIndex	www.sinbad.com.cn/route/routeId409.html
2015-02-27 15:59:40	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 15:59:40	220.161.195.58	/route/routeId392.html	www.sinbad.com.cn/
2015-02-27 15:59:42	183.47.228.117	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 15:59:50	115.47.37.224	/routeDetail?routeId=554	www.sinbad.com.cn/
2015-02-27 15:59:55	182.118.22.229	/destination8429/activity.html	www.sinbad.com.cn/destination8429/activity.html
2015-02-27 15:59:56	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:00:00	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:00:03	123.125.71.76	/destination642/activity.html	-
2015-02-27 16:00:03	183.47.228.117	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:00:04	183.47.228.117	/admin/remind/newOrderRemind	sinbad.com.cn/login
2015-02-27 16:00:06	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:00:07	183.47.228.117	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:00:12	218.91.209.251	/	-
2015-02-27 16:00:16	180.149.143.26	/destination/108	-
2015-02-27 16:00:21	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:00:25	183.47.228.117	/admin/remind/newOrderRemind	sinbad.com.cn/login
2015-02-27 16:00:26	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:00:29	218.91.209.251	/route/routeId392.html	www.sinbad.com.cn/
2015-02-27 16:00:30	183.47.228.117	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:00:30	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:00:32	183.47.228.117	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:00:39	115.28.203.70	/	-
2015-02-27 16:00:39	58.253.220.248	/	-
2015-02-27 16:00:40	223.73.99.61	/	www.baidu.com/from=844b/s
2015-02-27 16:00:44	218.91.209.251	/globalActivity	www.sinbad.com.cn/route/routeId392.html
2015-02-27 16:00:44	203.208.60.106	/destination/5690/activity	-
2015-02-27 16:00:45	203.208.60.108	/destination/2416/geography.html	-
2015-02-27 16:00:45	218.91.209.251	/	www.sinbad.com.cn/globalActivity
2015-02-27 16:00:46	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:00:47	37.140.141.17	/destination/7144/scenic.html	-
2015-02-27 16:00:48	183.47.228.117	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:00:50	183.47.228.117	/admin/remind/newOrderRemind	sinbad.com.cn/login
2015-02-27 16:00:53	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:00:54	182.254.211.195	/	-
2015-02-27 16:00:57	183.47.228.117	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:00:59	218.91.209.251	/routeMatch	www.sinbad.com.cn/globalActivity
2015-02-27 16:00:59	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:00:59	218.91.209.251	/	www.sinbad.com.cn/routeMatch
2015-02-27 16:01:00	111.197.160.83	/	www.sinbad.com.cn/routeMatch
2015-02-27 16:01:00	111.197.160.83	/routeMatch	www.sinbad.com.cn/
2015-02-27 16:01:04	220.181.108.187	/destination/7007/activity.html	-
2015-02-27 16:01:11	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:01:12	183.47.228.117	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:01:15	183.47.228.117	/admin/remind/newOrderRemind	sinbad.com.cn/login
2015-02-27 16:01:16	182.254.211.195	/routeDetail?routeId=554	www.sinbad.com.cn/
2015-02-27 16:01:16	111.197.160.83	/route/routeId360.html	www.sinbad.com.cn/routeMatch
2015-02-27 16:01:17	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:01:22	183.47.228.117	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:01:23	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:01:27	119.129.40.241	/	-
2015-02-27 16:01:31	114.46.74.169	/	-
2015-02-27 16:01:32	182.254.211.195	/aboutDirect/about.html	www.sinbad.com.cn/routeDetail
2015-02-27 16:01:36	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:01:37	183.47.228.117	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
2015-02-27 16:01:41	183.47.228.117	/admin/remind/newOrderRemind	sinbad.com.cn/login
2015-02-27 16:01:43	119.130.186.196	/admin/remind/newOrderRemind	www.sinbad.com.cn/login
